"**Timestamp**","**Butterhead Lettuce (pH)**","**Cherry Tomato (pH)**"
"2024-06-01 06:00:00","5.9","6.0"
"2024-06-01 08:00:00","6.0","5.9"
"2024-06-01 10:00:00","6.1","6.1"
"2024-06-01 12:00:00","6.2","6.3"
"2024-06-01 14:00:00","6.1","6.4"
"2024-06-01 16:00:00","5.9","6.2"
"2024-06-01 18:00:00","5.8","6.0"
"2024-06-01 20:00:00","5.7","5.8"
"2024-06-02 06:00:00","5.8","5.9"
"2024-06-02 08:00:00","6.0","6.1"
"2024-06-02 10:00:00","6.2","6.3"
"2024-06-02 12:00:00","6.3","6.4"
"2024-06-02 14:00:00","6.1","6.2"
"2024-06-02 16:00:00","6.0","6.1"
"2024-06-02 18:00:00","5.9","5.9"
"2024-06-02 20:00:00","5.7","5.8"
"2024-06-03 06:00:00","5.8","5.9"
"2024-06-03 08:00:00","6.0","6.1"
"2024-06-03 10:00:00","6.2","6.3"
"2024-06-03 12:00:00","6.3","6.5"
"2024-06-03 14:00:00","6.2","6.3"
"2024-06-03 16:00:00","5.9","6.1"
"2024-06-03 18:00:00","5.8","5.9"